"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"963",2.82672305371532e-79,-0.576192310645539,0.19,0.5,2.55196557289419e-75
"2529",2.97359047106706e-79,-0.558103772042013,0.238,0.544,2.68455747727934e-75
"248",3.29058107428128e-79,-0.604947775658864,0.276,0.573,2.97073659386114e-75
"2628",4.66123519993689e-79,0.576959316535896,0.778,0.385,4.20816313850303e-75
"6685",6.02632854416769e-79,-0.596102381337475,0.204,0.514,5.44056940967459e-75
"3941",6.04202828817978e-79,-0.568174758147768,0.089,0.407,5.4547431385687e-75
"2594",6.43492393793632e-79,0.563717803210104,0.617,0.208,5.80944933116891e-75
"8131",6.6805047392352e-79,-0.500808600429352,0.088,0.409,6.03115967858154e-75
"5640",6.7400903314995e-79,-0.403900404806698,0.002,0.213,6.08495355127775e-75
"7296",7.27359854172289e-79,-0.157391558656665,0.436,0.098,6.56660476346742e-75
"1234",7.55068255135159e-79,-0.774195031129712,0.562,0.687,6.81675620736021e-75
"8825",9.60412478228645e-79,0.352787781825384,0.299,0.008,8.67060385344821e-75
"7572",1.004052650351e-78,0.464890708365307,0.492,0.105,9.06458732736881e-75
"6571",1.06892798224803e-78,0.567850525488063,0.76,0.357,9.65028182373524e-75
"8005",1.91424453550054e-78,0.578542787134748,0.812,0.472,1.72817996664989e-74
"5477",2.25987932617266e-78,-0.0712969246709128,0.292,0.069,2.04021905566868e-74
"6955",2.79551285168779e-78,-0.788292155254167,0.313,0.508,2.52378900250374e-74
"3198",3.51367690314514e-78,-0.5090798332148,0.066,0.364,3.17214750815943e-74
"6074",4.27525018858627e-78,0.451303789076932,0.451,0.08,3.85969587025569e-74
"1394",4.4459244879365e-78,-0.781361567319254,0.306,0.604,4.01378062770907e-74
"8760",4.54537246200144e-78,-0.307082379087969,0.001,0.208,4.1035622586949e-74
"8411",4.61052984050905e-78,-0.675156386304304,0.209,0.513,4.16238634001157e-74
"5538",6.0204016812428e-78,-0.567382691786369,0.176,0.485,5.435218637826e-74
"3262",6.18560982256731e-78,-0.758770340099397,0.601,0.813,5.58436854781377e-74
"3524",6.8595111624379e-78,0.459984315655421,0.482,0.101,6.19276667744894e-74
"3596",8.12589877866489e-78,-0.64030977734994,0.191,0.511,7.33606141737866e-74
"7741",9.38819643840819e-78,0.49346324138427,0.556,0.156,8.47566374459491e-74
"1761",1.11705961745347e-77,-0.594944400498721,0.841,0.886,1.00848142263699e-73
"7827",1.18291359596966e-77,-0.586536435528478,0.17,0.479,1.06793439444141e-73
"7245",1.18987420137543e-77,-0.465638827192942,0.054,0.35,1.07421842900174e-73
"8583",1.23501296528035e-77,0.526648649080144,0.615,0.205,1.1149697050551e-73
"7431",1.25186361370602e-77,-0.592310613178485,0.414,0.649,1.13018247045379e-73
"431",1.3934946689223e-77,0.443534430632255,0.553,0.153,1.25804698710305e-73
"2246",1.6399726653856e-77,-0.570981435064549,0.052,0.33,1.48056732231012e-73
"8290",2.02676634867255e-77,-0.601955182727118,0.878,0.906,1.82976465958158e-73
"8763",2.06706417152629e-77,-0.520986670474291,0.044,0.322,1.86614553405393e-73
"902",2.32048167891285e-77,-0.758110270329342,0.92,0.971,2.09493085972252e-73
"706",2.53165126603632e-77,-0.637298536572212,0.38,0.659,2.28557476297759e-73
"845",3.03154329475788e-77,-0.556267501815946,0.158,0.476,2.73687728650742e-73
"8571",3.77632039266773e-77,0.53701716354825,0.767,0.369,3.40926205050043e-73
"2331",4.77500967357805e-77,0.493791661272464,0.356,0.031,4.31087873330626e-73
"1986",5.10232589082715e-77,-0.573199769618489,0.114,0.421,4.60637981423875e-73
"7978",5.26853574073111e-77,-0.729198404175909,0.394,0.671,4.75643406673205e-73
"1367",7.77219400025763e-77,-0.531751304855112,0.015,0.257,7.01673674343259e-73
"6582",8.00493008387317e-77,-0.46862340852835,0.047,0.331,7.2268508797207e-73
"7314",8.47638682602688e-77,0.333576900564303,0.606,0.215,7.65248202653706e-73
"7142",1.22605717643785e-76,-0.400502845197229,0.034,0.308,1.10688441888809e-72
"4893",1.26452792760941e-76,0.439445818872426,0.571,0.17,1.14161581304578e-72
"4351",1.28375730947769e-76,-0.534249702938814,0.098,0.406,1.15897609899646e-72
"1288",1.50531400350168e-76,0.571020682737037,0.94,0.711,1.35899748236132e-72
"8422",1.93457217570665e-76,-0.48268118313031,0.102,0.403,1.74653176022797e-72
"3388",2.02114715113616e-76,-0.592970571422274,0.764,0.855,1.82469164804573e-72
"6723",2.34942801493788e-76,-0.578521348359567,0.246,0.545,2.12106361188592e-72
"5379",2.3601648520449e-76,-0.602687974590707,0.174,0.479,2.13075682842613e-72
"7453",2.70280111618787e-76,-0.55188810646685,0.246,0.532,2.44008884769441e-72
"1397",2.75656661772492e-76,0.487600785054328,0.775,0.372,2.48862834248206e-72
"8387",3.18405191266905e-76,-0.619247020872899,0.326,0.621,2.87456206675762e-72
"1418",3.54189118212977e-76,-0.296850429168673,0.002,0.211,3.19761935922676e-72
"7487",4.74779103001257e-76,-0.553998470635925,0.186,0.508,4.28630574189535e-72
"1472",4.83495768643154e-76,-0.54073292455379,0.116,0.424,4.3649997993104e-72
"3217",4.94635613720144e-76,0.420729255429619,0.465,0.093,4.46557032066546e-72
"6367",5.17674615988997e-76,0.423792955680955,0.548,0.156,4.67356643314866e-72
"3317",5.3184490907767e-76,-0.584686564270049,0.447,0.701,4.8014958391532e-72
"8829",5.41242155617253e-76,-0.510876240707332,0.057,0.344,4.88633418091256e-72
"1190",5.57739772688763e-76,-0.70137906379175,0.511,0.725,5.03527466783415e-72
"2942",5.63565522728976e-76,-0.359141687915061,0.014,0.256,5.08786953919719e-72
"1431",6.33640999588e-76,0.502758531446952,0.731,0.324,5.72051094428047e-72
"5987",6.80320236944741e-76,-0.582314405596703,0.26,0.546,6.14193109913712e-72
"65",7.12087120817875e-76,-0.535178069861282,0.15,0.469,6.42872252674378e-72
"3232",7.26336623469531e-76,-0.697914153100153,0.481,0.704,6.55736703668293e-72
"7599",7.53610273988238e-76,0.538486008419105,0.705,0.302,6.80359355356581e-72
