sortid,genelist,drdist,FC,pValues,pAdjusted
16,ABHD14A,9.64136593607929e-16,0.117440634837002,0.731827077378964,0.99999999991268
2018,MYH9,9.61867685299732e-16,0.117164261101301,0.732130663194142,0.99999999991268
1594,ITGA4,9.56339896148367e-16,0.116490925941651,0.732871974018219,0.99999999991268
1968,MT-ND2,9.15116463586963e-16,0.111469535692314,0.738477253132572,0.99999999991268
2761,RPS26,9.02536921808095e-16,0.109937232715471,0.740215606770067,0.99999999991268
137,AHNAK,8.83680345459218e-16,0.107640329650131,0.742846747071407,0.99999999991268
1437,HLA-DQA1,8.70277440155408e-16,0.106007733482767,0.744735874355306,0.99999999991268
3431,TRANK1,8.62295128543482e-16,0.105035415089931,0.745868627965464,0.99999999991268
2209,OGT,8.48337292745202e-16,0.103335223324606,0.747863362169756,0.99999999991268
2295,PCSK7,8.24888184277331e-16,0.100478907940368,0.7512556809958,0.99999999991268
1199,FN1,8.2092723292705e-16,0.0999964279222678,0.751833920720364,0.99999999991268
1136,FAM241A,8.02066775210946e-16,0.0976990520709821,0.754608531503459,0.99999999991268
3576,VIM,8.01985037659231e-16,0.097689095691329,0.754620633677824,0.99999999991268
2193,NUPR1,8.0035847784072e-16,0.0974909658630943,0.754861605274446,0.99999999991268
2050,NCAPH2,7.80716189607967e-16,0.0950983559206861,0.757793036353017,0.99999999991268
181,ALDH1A2,7.67504511599859e-16,0.0934890529828856,0.759787541294805,0.99999999991268
989,EEF2,7.28376441799997e-16,0.0887228970380662,0.76580704913234,0.99999999991268
1840,MARS1,7.26912432484619e-16,0.0885445673443847,0.766035655171361,0.99999999991268
26,AC004057.1,7.11393090379377e-16,0.0866541698621443,0.76847457459671,0.99999999991268
546,CCL2,6.97604685883336e-16,0.0849746163754907,0.770665840027373,0.99999999991268
2364,PIGN,6.94544616454405e-16,0.0846018719959478,0.771155328076515,0.99999999991268
114,ADAR,6.67421986828695e-16,0.0812980882138467,0.775545928881229,0.99999999991268
3013,SLFN5,6.67087563238839e-16,0.0812573523689906,0.775600662203178,0.99999999991268
1849,MBOAT1,6.6298964960867e-16,0.0807581890954203,0.77627255390894,0.99999999991268
1335,GPNMB,6.48414152314756e-16,0.078982760523773,0.778680704057881,0.99999999991268
1995,MTRNR2L12,6.34289331599787e-16,0.0772622284718599,0.781042419870934,0.99999999991268
3360,TMEM45A,6.33178459291734e-16,0.0771269140880417,0.781229358092199,0.99999999991268
2866,SELL,6.31406912254185e-16,0.0769111234935215,0.781527840838133,0.99999999991268
867,DDX5,6.27568648572761e-16,0.0764435879530111,0.782176089139285,0.99999999991268
1965,MT-CO3,6.23190535291941e-16,0.0759102938051729,0.7829181238265,0.99999999991268
2118,NMNAT3,6.12371768052497e-16,0.0745924692342795,0.784763879350757,0.99999999991268
2554,PTPRC,6.10246683690504e-16,0.0743336145676179,0.785128487529406,0.99999999991268
869,DDX58,6.024083372208e-16,0.0733788324427847,0.786479270278992,0.99999999991268
3551,USP30,6.01435774240055e-16,0.0732603653971036,0.786647528569556,0.99999999991268
2013,MXD3,5.93673286039552e-16,0.0723148235016651,0.787995742900321,0.99999999991268
